APPLN_ID_SIPO,PubNum_google
CN200610034600.5,US5269004A
CN200610064625.X,JPH01205959A
CN200510046173.8,CN2269634Y
CN03103987.1,US7039044B1
CN00113839.1,US7123600B2
CN02153257.5,JPH0763337A
CN01144637.4,US6526039B1
CN200410002139.6,CN1224959A
CN200710118216.8,JP2000035910A
CN200710074208.8,US6376946B1
CN200610145324.X,CN1272924C
CN200710201333.0,US6768452B2
CN200710186875.5,CN1902934A
CN201210272673.3,US6934299B
CN00116783.9,CN1374596A
CN200810001627.3,CA1282721C
CN200410051157.3,US20040005736A1
CN03140106.6,EP1303082A2
CN200310122650.5,CN1344820A
CN200710189805.5,CN1056076C
CN200410051155.4,CN2490699
CN200710125116.8,JP4471346B
CN200710202537.6,JP3540281B2
CN200680012192.1,EP1494490A1
CN200710125106.4,US8390580B2
CN200510080252.0,US8116720B2
CN200610033946.3,CN2736789Y
CN200510100603.X,US5419780A
CN200710153029.3,WO2006052083A1
CN200410080207.0,US6218858B1
CN98801111.5,US576310A
CN200510072009.4,US20050022073A1
CN200610119026.3,CN1206709
CN01108152.X,JP2691721B
CN200610043405.9,CS211874B1
CN200610001979.X,US7327771B2
CN02112118.4,CN1164170A
CN200780015583.3,CN1371817A
CN200310121170.7,CN1451634A
CN200610058521.8,CN1120645C
CN200610060789.5,US20050010937A1
CN200680011959.9,US6691232B1
CN200510032984.2,US4489777A
CN200710202197.7,KR20050045465A
CN200410022830.0,CN1019988C
CN03130308.0,JP2003036796A
CN201110131644.0,US20040176100A1
CN200510101506.2,US7590669B2
CN200610065951.2,GB8802028D0
CN200410091957.8,JP3343843B2
CN200710200510.3,GB2309603A
CN03159634.7,AU1435300A
CN200610061705.X,EP1329929B1
CN200610061990.5,DE6602854U
CN200610032943.8,CN1413138A
CN200410067857.1,US7097752B2
CN200410025163.1,JPH06153987A
CN200510033804.2,CN100477591C
CN200710201802.9,US7320538B2
CN98109154.7,US5428272A
CN200510121232.3,US6678250B1
CN200710000510.9,US7865931B1
CN200710191965.3,CN1431227A
CN200510084328.7,CN1135662A
CN98111268.4,DE19847682C1
CN01125689.3,US6182139B
CN200780100556.6,CN100589355C
CN200710125408.1,KR20090023803A
CN200710073965.3,CN1939636A
CN200610062954.0,JP4144986B2
CN99116970.0,JPS644562B2
CN02112106.0,AUPM432794A0
CN200510017569.X,JPH05178675A
CN200710145165.8,US5724672A
CN200310107418.4,US4090822A
CN200310112588.1,JP3736878B2
CN200510037336.6,CN1651534A
CN200510121387.7,US6220882B1
CN200310110930.4,EP1141453A1
CN98111363.X,JPH09291034A
CN00125114.7,KR100228748B1
CN200410000774.0,US20030056138A1
CN03129801.X,FR2655713B1
CN200610139004.3,CN1909533A
CN00111157.4,FR2772931B1
CN200510130656.6,CN1660275A
CN200510100289.5,US7509425B1
CN200710001242.2,CN1366441A
CN200610144404.3,US20060203818A1
CN200510132500.1,CN1229826C
CN200710104372.9,US6192342B1
CN200510094695.5,CN1415454A
CN200410006145.9,JPH08195521A
CN200410070221.2,CN1301023
CN200410044315.2,US20040078600A1
CN200710125110.0,CN1953935
CN200610057622.3,CN1120577C
CN200610074245.4,AU2002351015C1
CN200710179470.9,US7301946B2
CN200610057504.2,CN1645839A
CN200510045286.6,BE1014135A3
CN03111921.2,CN2213848Y
CN200510093701.5,CN1534972A
CN200610118508.7,CN1796966A
CN200510019855.X,JPS59178933A
CN200510055396.0,CN2798337Y
CN200510047874.3,CH679181A5
CN200510043038.8,CN1354014A
CN200610023858.5,CN1297469C
CN03104555.3,CN1344475A
CN200610157768.5,CN1840471A
CN200710075831.5,US5448020A
CN200610147781.2,SU1672327A1
CN200510036152.8,CN1549998A
CN200610127972.2,CN100553183C
CN200610168394.7,US3226410A
CN200710300149.1,CA2610133
CN01122529.7,US6363421B2
CN200780015583.3,CN1274741C
CN200410005145.7,US20010053146A1
CN200710094188.0,CN1755626A
CN99125740.5,US5268622A
CN200510113029.1,KR100475448B1
CN200510026737.1,US6493353B2
CN200610171614.1,DK175691D0
CN200510013490.X,CN2670789Y
CN99127338.9,US5834542A
CN200610081222.6,CN100359878C
CN200710052866.7,US3487895A
CN200510100563.9,US20020013852A1
CN200510116803.4,CN1206541A
CN200510035530.0,US6382306B1
CN200510010528.8,US5049716A
CN98111920.4,TW305830
CN200610054561.5,CN1460039A
CN200710066110.8,CN1031798C
CN200310111937.8,US20030043327A1
CN200710172668.4,JP4109515B2
CN200610066663.9,CN1281302A
CN200710151408.9,KR100651457B1
CN200510035781.9,US20050240919A1
CN200480043449.0,KR0176103B1
CN200410051105.6,US20040026684A1
CN200710078539.9,CN2427062Y
CN03141509.1,CN1138339A
CN200710201158.5,GB1507836A
CN200410070192.X,IT942698B
CN200710079798.3,CN1925419A
CN200710172921.6,CN1118795A
CN200410052155.6,US6035037A
CN200710003331.0,CN2646955Y
CN200780000175.0,CN100454841C
