APPLN_ID_SIPO,PubNum_google,distance_lda_euclidean,distance_lda_cosine,distance_lda_jensenshannon,distance_pca_euclidean,distance_pca_cosine,distance_wbed_euclidean,distance_wbed_cosine,distance_tfidf_euclidean,distance_tfidf_cosine,distance_tfidf_jensenshannon,distance_tfidf_jaccard
CN200510132405.1,CN100497756C,0.8310171710012614,0.9062304558282752,0.6811568105056555,0.3294782276156613,0.1924115013582724,2.617010951650703,0.1240255121970659,1.0671136502707717,0.5693657712971054,0.6548033855482611,0.8
CN200710178571.4,JP2003177525A,0.0433355869458776,6.40362435184727e-05,0.0407157416523765,0.192598383040327,0.1780063375569643,3.1376476741372,0.176710071580291,1.1930043901301388,0.7116297374348926,0.7171086232956553,0.8611111111111112
CN200510085286.9,CN1526246A,1.099596848380102,0.9786235965537164,0.712450381108594,0.2770906164902486,0.8475980180237837,2.9972775276705783,0.0970548646881783,1.283212038249543,0.8233165675542735,0.7470191782531185,0.8863636363636364
CN200510026630.7,US6660345B2,1.002073079464984,0.9741602309135164,0.7073375035230846,0.1996156048086154,0.6160619889370981,4.29631797754509,0.379389030970495,1.266267274575381,0.8017164053302814,0.7610274717585707,0.9393939393939394
CN03141447.8,JPS63267911A,0.6112128473917132,0.3027811091333835,0.4471635517932231,0.3953461443832315,0.7368702236575764,5.376144427836844,0.3172881231789638,1.3106115825276623,0.8588513601278318,0.7548057482894751,0.8695652173913043
CN200710148083.9,CN1852551A,1.1519245202084696,0.983284181845912,0.7335418973542774,0.7808712245598102,0.8050002684841666,2.127589106616513,0.0353141335940236,1.2802774560576025,0.8195551822446632,0.704403308752811,0.7758620689655172
CN200710113510.X,CN1884864A,0.0286195348454644,3.088196215694783e-05,0.0256193410714016,0.2492512094863479,0.5914002827083267,3.383752767400099,0.2142808401152748,1.2084200737617503,0.7301395373351771,0.7166477360947812,0.8545454545454545
CN200710179005.5,CN2687141Y,0.5880729287082325,0.5502978478253957,0.5401100830741481,0.3643266530543252,0.6502744597280726,2.8769669992813403,0.1189579333832971,1.0962111311358314,0.6008394220130493,0.6741998902019616,0.8433734939759037
CN200710179291.5,CN101008672A,0.1900713091697496,0.0183921435232662,0.2005877510126991,0.253826599869804,0.6789283472967635,3.373399600485111,0.1285700933426085,1.1405774458371876,0.6504584549762418,0.6920496449845017,0.8666666666666667
CN200710125678.2,CN2916369Y,0.0252229673046897,2.483821667753628e-05,0.0222497521436726,0.3699939967161514,0.6675146734172197,3.63412631218548,0.1537686368635842,1.1837111672372556,0.700586063721093,0.7244939514412315,0.8888888888888888
CN200610088538.8,CN100493022C,0.0158981332940096,9.070063045846233e-06,0.0145438723625346,0.413760690817111,0.8930947291022071,2.478824134765158,0.0688351159788958,1.1313741923590663,0.6400037815680651,0.7351336316947503,0.9206349206349206
CN200510122417.6,CN1352933A,0.0331105652951234,6.197513170425051e-05,0.026098080928202,0.156745098914751,0.3134106869660833,4.257458101568624,0.2400304004081624,0.8162102699198308,0.3330996023613015,0.6459263969984878,0.8571428571428571
CN200710173746.2,CN201165542Y,0.0056493590390936,1.243511791870766e-06,0.0049852920195371,0.1509907036554908,0.0206620060265728,0.8998604071842128,0.0127675718820964,0.3673887854453309,0.0674872598354976,0.2500825132470566,0.1891891891891892
CN200510083842.9,US6013849A,1.0823013190729864,0.9769612679185652,0.7053609064641301,0.1384134844871114,0.1624925630735402,4.357550123482189,0.302366938774522,1.1067843699191209,0.612485820748633,0.7184219867300631,0.9310344827586208
CN200410016120.7,CN1014407B,0.0333157187142084,4.375755487029398e-05,0.0292840471533636,0.2278239389469616,0.1667555322602184,3.619358759987918,0.1781427580414167,1.390351207885826,0.9665382406347888,0.8132476158691734,0.9761904761904762
CN200510128434.0,CN100534920C,0.0060633148452448,1.4322798331800612e-06,0.005350826590916,0.361667996234557,0.4695231956227274,2.745585925850621,0.0953427468682254,1.2797352780170934,0.8188611909007439,0.7670591984573683,0.9
