Patent_ID,Patent_abstract,cleaned_and_stemmed_nouns_verbs_abstract
CN1906715B,"On ceramic green sheets (2), coil conductor patterns (3-7) and extracting electrodes (8-9) are formed by a screen printing method, respectively, in a status where the sheets are not lined with carrier films, and at the same time, a hole for via hole is filled with a conductive paste and a via hole (15) is formed. The coil conductor patterns (3-7) are provided with first lands (3a-6a) on one end to cover the via hole (15) for interlayer connection, and second lands (4b-7b) on the other end to receive the via hole (15). It is suitable that the diameter of the second lands (4b-7b) is larger than that of the first lands (3a-6a), and the area of the second lands (4b-7b) is 1.10-2.25 times the area of the first lands (3a-6a).",sheet coil conductor pattern extract electrod are form screen print method statu sheet are line carrier film time hole hole is fill past hole is form coil conductor pattern are provid land end cover hole connect land b b end receiv hole is diamet land b b is land area land b b is area land
CN1816072A,"The method includes steps: using telecom equipment to collect TDR, which is sent to traffic service statistical treatment unit outside telecom equipment directly; the said treatment unit receives TDR, and saves it locally; based on management command from console, carrying out background process for TDR. The invention displaces key treatment of traffic service statistics to outer dedicated process unit from telecom equipment. Thus, telecom equipment only accomplishes data collection function of traffic service statistics simply. Therefore, the invention raises operating efficiency and load transaction ability of service function in telecom system, and lowers maintenance cost. Features are: supporting operation expansion of traffic service statistics smartly, and satisfying each new requirement in traffic service statistics.",method includ step use equip collect tdr is sent traffic servic treatment unit equip said treatment unit receiv tdr save base manag command consol carri background process tdr invent displac treatment traffic servic statist outer process unit equip thu telecom equip accomplish data collect function traffic servic statist invent rais oper effici transact abil servic function telecom system lower mainten cost featur are support oper expans traffic servic statist satisfi requir traffic servic statist
CN2234947Y,"The domestic device for cleaning and purifying running-water designed by the utility model comprises a primary filtering unit, an active carbon filtering unit, a booster pump and a reverse osmosis unit, wherein, the primary filtering unit is provided with two water outlets, and one of the water outlets is used for taking running water and simultaneously cleaning a filter element automatically. The draining outlet of the reverse osmosis unit is connected with an operating state control valve, the valve is opened and closed or partially opened or fully opened in order to stop the device and prepare purified water after reverse osmosis treatment or prepare the purified water after primary filtration and active carbon filtration treatment, and simultaneously a reverse osmosis membrane is cleaned.",devic clean purifi water design util model compris filter unit carbon filter unit booster pump osmosi unit wherein filter unit is provid water outlet water outlet is use take water clean filter element drain outlet osmosi unit is connect oper state control valv valv is open close open open order stop devic prepar water osmosi treatment prepar water filtrat carbon filtrat treatment osmosi membran is clean
CN1645725A,"The invention consists of clamping resistor, clamping reactor, insulation board of laminated bus bar, power input terminal, clamping capacitor, IGCT, radiator, connector of laminated bus bar, laminated bus bar, power output terminal and pressing components. The pressing component presses the IGCT and radiator into a long string. The clamping resistor locates at the both sides of the front end of the long string. The clamping reactor locates at upper part of the long string. The insulation board of laminated bus bar and laminate bus bar cling to back end of the long string. The radiator is connected with the laminated bus bar. The clamping capacitor is clamped between the power input end and laminated bus bar.",invent consist clamp resistor clamp reactor insul board lamin bu bar power input clamp capacitor igct radiat connector bu bar lamin bu bar power output termin press compon press press igct radiat string clamp resistor locat side end string clamp reactor locat part string insul board lamin bu bar lamin bu bar cling back end string radiat is connect bu bar clamp capacitor is clamp power end lamin bu bar
US7702794B1,"A system and method is provided for a distributed computing system where a user can login to a client computer and access a number of different applications installed on web servers. These applications are then provided access to data in mainframe systems without a user having to enter mainframe user id or password information for gaining access to the mainframe system. The system and method can utilize a sign on object which is installed onto the client computer. The sign on object operates to obtain and transmit a security token which authorizes access to the mainframe system, and the security token does not require the use of the cookie data. This system and method can pass the security token through the web server and the web application in an encrypted form which limits security risks.",system method is provid distribut comput system user login client comput access number applic instal web server applic are access data mainfram system user have enter mainfram id password inform gain access mainfram system system method util sign object is instal client comput sign oper obtain transmit secur token author access mainfram system secur token doe requir use cooki data system method pass secur token web server applic form limit secur risk
CN2606550Y,"The utility model is a sideway structure capable of synchronously pull-out and retraction, comprising an inner sideway, the ends of the inner wall of which are oppositely provided with a top blocking part and a top inclined part; a center sideway which is arranged between the inner sideway and an outer sideway, roller devices are respectively arranged between the center sideway, the inner sideway and the outer sideway, to make the center sideway slide relative to the inner sideway and the outer sideway, the ends of the center sideway are connected with a switch element corresponding to the length and the width of the top blocking part and the top inclined part, the switch element is provided with two end edges which is switchable up and down ; an outer sideway, the approaching front end of the center section of which is oppositely provided with a bottom blocking part and a bottom inclined part corresponding to the top blocking part and the top inclined part; the inner sideway moves forward, the top blocking part of which contacts the first end edge of the center sideway, thereby synchronously pulling out; when the first end edge overshoots the bottom blocking part,  a second end edge contacts the bottom inclined part to make the first end edge move downward, and the top and the bottom blocking parts of the inner and the outer sideway interchange and lock tightly.",util model is structur pull retract compris sideway end wall are provid block part part center sideway is arrang sideway outer sideway roller devic are arrang center sideway sideway outer sideway make center sideway sideway outer sideway end center sideway are connect switch element correspond length width block part part switch element is provid end edg is sideway approach end section is provid block part bottom part correspond block part part sideway move block part contact end edg center sideway pull end edg block part end edg contact bottom inclin part make end edg move block part inner outer sideway interchang lock
WO2005007639A1,"A process for obtaining substantially pure tetrahydrolipstatin (Orlistat) by a) extraction of a water miscible layer containing lipstatin with a water immiscible solvent, b) concentration of the water immiscible layer, c) extraction of the concentrate with a water miscible solvent, d) catalytic hydrogenation of the water miscible layer to afford tetrahydrolipstatin, e) filtration of the mixture from (d), f) treating with water or water miscible solvent, g) extraction with water immiscible solvent and concentration, h) affording tetrahydrolipstatin, i) treating with water miscible solvent to afford pharmaceutical pure tetrahydrolipstatin.",process obtain tetrahydrolipstatin orlistat extract water layer contain lipstatin water solvent b concentr water layer extract concentr water solvent d hydrogen water layer afford tetrahydrolipstatin filtrat mixtur f treat water water solvent g extract water solvent concentr h afford tetrahydrolipstatin i treat water solvent afford pure tetrahydrolipstatin
CN200510087703.3,"The invention discloses a next generation network failure testing method, which comprises the following steps: constructing message of application layer protocol on the proxy device, when the network address between proxy device and user terminal converts to firebreak device; sending the message to the opposite terminal; using tool aggregate which is established by definition for checking if the network connects the detecting network accident range and order aggregate to check linkage fault between proxy device of next generation network NGN and end-to-end network.",invent disclos gener network failur test method compris step construct messag applic layer protocol devic network address devic termin convert firebreak devic send messag termin use tool aggreg is establish definit check network connect detect network accid rang order aggreg check linkag fault devic gener network ngn end end network
US4752025A,"A repair terminal is disclosed for reworking defective components on printed circuit boards. The terminal has a heater arm which lowers itself over the component, and directs hot gas thereon. A vacuum shroud surrounds the heat zone around the component and removes excess heat so as to minimize damage to surrounding components. The heater arm has inner and outer tubes, the inner tube delivering hot gas the outer tube removing it. Thus the outer tube prevents an operator from being burned by the dangerously hot temperature of the inner tube. A workholder is also disclosed for holding and aligning the circuit board with the heater arm. The workholder is capable of adjustment along the X- and Y-axes as well as in the theta orientation.",repair termin is disclos rework compon circuit board termin ha heater arm lower compon direct ga thereon a vacuum shroud surround heat zone compon remov heat minim damag surround compon heater arm ha inner tube tube deliv ga outer tube remov thu outer tube prevent oper be burn temperatur tube workhold is disclos hold align circuit board heater arm workhold is adjust x y axe theta orient
CN100438513C,"The present invention discloses a method and a system for realizing route control. In the method, a route policy decide point (RPDP) needs setting in advance, and RP information is stored on the RPDP; after a route query request transmitted by GMSC to HLR is held up by RPDP, the route query request is confirmed to be used as the reinforced cross-domain route control of a connected route under the called condition in service which can be provided by CS/IMS according to a certain policy and situations that whether a user can reach or not in different domains, etc. When the method of the present invention is used, the HLR is unchanged, and the route control can also be realized under the conditions that an access network does not support CAMEL, or a user currently appearing affects the activated incoming call locking triggered by called CAMEL service and the incoming call locking is determined by an operator.",invent disclos method system realiz rout control method rout polici decid point rpdp need set advanc rp inform is store rpdp rout queri request transmit gmsc hlr is held rpdp rout queri request is confirm be use cross domain rout control connect rout call condit servic be provid cs im accord polici situat user reach domain etc method invent is use hlr is rout control be realiz condit access network doe support camel user appear affect incom call lock trigger call camel servic incom call lock is determin oper
