Patent_ID,Vec1,Vec2,Vec3,Vec4,Vec5,Vec6,Vec7,Vec8,Vec9,Vec10,Vec11,Vec12,Vec13,Vec14,Vec15,Vec16,Vec17,Vec18,Vec19,Vec20,Vec21,Vec22,Vec23,Vec24,Vec25,Vec26,Vec27,Vec28,Vec29,Vec30,Vec31,Vec32,Vec33,Vec34,Vec35,Vec36,Vec37,Vec38,Vec39,Vec40,Vec41,Vec42,Vec43,Vec44,Vec45,Vec46,Vec47,Vec48,Vec49,Vec50,Vec51,Vec52,Vec53,Vec54,Vec55,Vec56,Vec57,Vec58,Vec59,Vec60,Vec61,Vec62,Vec63,Vec64,Vec65,Vec66,Vec67,Vec68,Vec69,Vec70,Vec71,Vec72,Vec73,Vec74,Vec75,Vec76,Vec77,Vec78,Vec79,Vec80,Vec81,Vec82,Vec83,Vec84,Vec85,Vec86,Vec87,Vec88,Vec89,Vec90,Vec91,Vec92,Vec93,Vec94,Vec95,Vec96,Vec97,Vec98,Vec99,Vec100
CN200610014203.1,-0.05547209,0.5118664,0.3365489,-0.03723416,0.6526975,0.3742847,-0.28187725,-0.6897007,-0.18400623,-0.5854801,-1.1835698,0.11526999,0.955138,-0.13497268,-0.52036154,0.6830724,-0.18147378,-0.2920492,0.08642958,0.6145632,0.42468902,-0.568526,-1.0469452,0.61306596,-0.1911222,0.19402513,-0.37297302,-0.2551893,0.5903028,-0.3517617,-0.975175,0.85255975,-0.54994684,0.49536625,1.1748741,0.33179638,0.14356765,0.27081218,-0.02480028,0.03238347,0.11933699,-0.6129856,-0.46648088,0.2089293,-0.45121738,-0.45828018,-0.39781156,-0.19506666,-0.1936173,0.16888721,0.20503755,-0.38477424,-0.04618863,-0.6951164,0.34622428,-0.38824508,-0.2905113,0.2386535,-0.40812033,-0.45119578,-0.03003037,0.09569944,-0.38831815,-0.38600928,0.25528097,-0.32270542,0.03658946,-0.5085854,0.9233255,-0.5799085,-0.32043606,-0.04792881,-0.56965435,-0.2993764,0.6289502,-0.03109196,-0.5987855,0.5138091,0.75815785,0.74514556,-0.18421882,-0.7088648,0.4649147,0.25269824,0.19535072,-0.1389425,-0.47508997,0.08961973,0.23061441,-0.28536522,-0.8120695,-0.10044432,-0.40528953,-0.3116382,0.04565557,-0.4331875,0.5308885,0.00831635,-0.08651228,0.09414475
CN1457848A,-0.09458282,1.0401504,0.4085084,0.16339438,0.1475956,-0.23755042,-0.03554635,0.8162287,0.43960926,-0.03766192,-0.09479981,-0.26698402,-0.63838345,0.4476459,0.05193978,0.41415912,-0.5631371,-0.3291362,0.6222875,-0.02234667,0.28071865,0.6043793,-0.13982473,0.7843345,0.27579093,-0.05309041,-0.366925,-0.19585158,0.27360666,0.10356782,-1.0866635,0.23539244,-0.14753368,0.5254155,0.20942073,-0.07279175,0.41527992,-0.20363298,-0.10579757,-0.3329811,0.53028667,0.53141123,-0.34718102,-0.38026327,-0.12438774,0.18288414,-0.38143605,0.4292484,-0.37795788,0.3078756,0.33357683,0.6053755,-0.32234925,-0.7248805,-0.5651674,-0.5672214,0.1333152,0.25893366,-0.38434857,-0.43669233,-0.24049653,0.39218307,0.02278153,-0.24987432,-0.23994727,-0.1676773,0.04494681,0.20186308,0.20485812,-0.69659126,0.64618003,-0.78859514,-0.2676162,0.32522252,0.86024785,-0.19713798,-0.08344058,-0.2689702,-0.12920152,0.5008378,-0.28103465,0.38932395,0.5607476,0.378797,0.56009936,-0.01206165,0.48998854,0.4577789,0.31442848,-0.3518009,-0.5922684,0.32982078,-0.42550993,-0.02978326,-0.46576446,0.3951906,0.02142212,-0.61426944,0.2954037,0.5926245
CN200610034598.1,0.6359381,0.29944482,-0.2761901,-0.09609278,0.606302,0.85287106,0.01373322,-0.5048252,-0.40743798,-0.51311946,-0.44224694,0.3854283,-0.01355979,0.41898596,-0.9712956,0.45968547,0.12744607,0.06440857,-0.5599067,0.24999708,0.43240836,-1.6918815,-0.71941715,-0.31011206,0.38991168,0.10219005,-0.17790481,-0.6402189,0.5081894,0.08164033,-0.26190674,1.475837,0.03563322,0.26378223,1.6115842,0.8633343,0.44961065,1.5460436,0.5547016,-0.7273776,0.22649635,-0.44697857,0.4205605,-0.51806474,0.28676686,-1.0599433,-0.92895794,-0.7010884,-0.06738365,0.55411994,0.11199527,-1.120142,0.05320394,0.15465082,0.6278033,-0.18698202,0.55695796,0.48944917,-1.2879611,0.09016918,0.6142503,0.16630328,-1.2677366,-0.07682142,-0.47045457,-0.24426502,0.61817485,-1.3840103,0.7008996,-0.25318012,-0.5310286,0.19324161,-0.57251096,-0.17113765,0.3405408,-0.6174732,-0.10555584,0.97487956,1.0528756,0.08382167,0.12134454,-0.300973,-0.00691056,0.80206627,0.6012374,-1.2960137,-0.6715389,0.35165912,-0.68836856,0.04667364,-0.31003404,0.19024089,0.16137229,-0.6213874,0.07773162,-0.07472295,0.18395725,-0.506197,0.76547563,-0.5814953
CN1400281A,-0.06262127,0.7408193,0.3079063,0.23187974,0.5363736,0.80667317,-0.65035653,0.14556119,0.19295408,-0.18189806,-0.9010225,0.5157862,0.21567641,0.08678017,-0.46361765,-0.40141147,-0.57614815,-0.01389861,0.15626028,0.4801523,0.07524939,-0.05149307,0.3757001,2.0111432,-0.04820914,-1.5376928,-0.05432243,-0.36049107,0.24879868,-0.02195656,-2.0487947,0.6807067,-0.4284716,0.6028248,0.4621506,0.2941587,0.40676567,0.35535127,0.44695118,0.00819825,0.34576032,0.02179133,-0.75895315,-0.11355837,-0.20352651,-0.15378389,0.3597543,-0.08668192,0.0902153,-0.26691657,0.2296982,-0.23408267,-0.35349804,-1.0894493,-0.4272004,-0.43765157,-0.21587116,0.45838648,-0.34368682,-0.5261481,-0.75529397,0.76116985,-0.15598567,-0.36178857,-0.17870335,-0.60845363,-0.6909084,-0.00475492,0.7178571,-0.814415,0.39294472,-0.47611868,-0.93935233,0.05629985,0.6360643,0.51080674,-0.36230788,-0.15923999,0.51980656,0.66241634,0.21308446,0.567015,0.2732569,-0.3376693,-0.09231868,0.20156819,-0.41033858,0.2623855,-0.41100764,-0.10520069,-0.75411713,-0.4149625,-0.54401773,-0.3143626,-0.591021,0.4366732,0.3514644,0.07268737,0.16260538,0.26464385
US4455586A,0.26120055,-0.13951837,-0.8346512,-0.03408433,0.8462547,0.63285804,-0.12583767,-0.4299443,-0.16972658,-0.7968951,0.23634173,-0.21635158,0.25723305,0.38664657,-0.2456998,-0.0688948,0.1091377,0.12871736,-1.0715997,0.6064202,-0.04172922,-1.5906249,-0.07557177,-0.31259412,0.1080988,-1.0579453,-1.0889187,-0.54251593,0.65182084,0.3365273,-0.88624674,1.6739954,0.22000164,0.59310156,1.0931652,0.65788174,0.20249678,1.7398174,0.5055701,-0.6247686,0.55803853,-0.8775637,0.6937629,0.21551408,0.026757,-1.2880688,-0.9688043,-0.41962326,-0.08506068,0.788749,0.01374138,-1.0866303,-0.02110695,-0.30762962,0.28014237,-0.13454029,0.31958002,0.38919246,-0.5362406,0.6983313,0.57322097,0.44260687,-0.5046836,-0.55886453,-0.32052684,-0.60308725,0.58321553,-1.3024948,0.60130215,-0.7880633,-0.674024,-0.09429185,-0.4205766,-0.19572024,0.6474021,-0.9093885,-0.10535181,0.5154745,0.9581686,0.44939864,0.65585834,0.12370443,0.16895004,0.60814506,-0.22095403,-0.74317765,-0.38742882,-0.17327213,0.12108659,0.06313153,-0.42769527,0.23578104,-0.51891357,-0.38024318,0.03981179,-1.0274167,0.13616301,-0.59333545,0.73613876,-0.785924
KR100310093B1,-0.27724528,0.22306173,-0.5035012,-0.3149634,0.52766025,0.08131436,0.27249676,-0.1539811,0.55349857,-0.99346614,-0.5573563,0.5379179,1.0695883,-0.40011486,-0.3903127,-0.02380946,0.07744328,-0.30908576,-0.0714732,0.74744254,0.3178332,-1.3280314,-1.0223613,-0.3827664,0.05478638,-0.07050394,-0.6514207,-0.04107166,1.5289452,-0.6836141,-0.29645455,0.9926295,-0.25984168,0.31841716,1.0163398,0.2415886,0.16238196,-0.28180528,-0.27644458,-0.64733344,-0.43452242,-0.46073064,-0.15445878,0.13769959,-0.42159173,-1.3512806,-0.4137679,-0.25153834,-0.13332105,0.7677312,-0.45860636,-1.1847839,0.0531239,0.16333827,0.19376281,0.02197793,-0.1432349,0.5123622,-0.5406924,-0.26297593,0.5161007,-0.02894642,-0.7505919,0.34612605,-0.3446291,0.4235824,1.0747027,-0.48029244,0.4935442,-0.091631,-0.7617624,-0.01071363,-0.24925297,-0.6573439,0.53690195,0.07439677,-0.46991283,1.5398418,0.5056691,0.16805121,-0.92484796,-0.6652796,-0.18555112,0.31898347,-0.76153356,-0.34902486,-0.03224787,-0.16177829,0.38417685,0.71941286,-0.11793668,-0.11900198,-0.3710704,-0.11260944,0.77346325,-0.84836775,0.24063955,0.22162132,-0.730152,-0.7363922
US4264344A,0.18640013,-0.11660589,-0.57396537,-0.19136174,0.31563389,0.99750912,-0.15760724,-0.54146844,0.50612974,-1.1025305,-0.057756703,0.59381986,0.62639874,-0.0010596785,-0.89222956,0.37866426,-0.50505722,0.030951388,-0.17439999,0.73387402,-0.45613286,-0.3887336,-0.14308074,0.21128622,0.46674633,-1.0981716,-0.72574174,-0.34223592,0.5363307,0.134552,-0.8096385,1.1752568,-0.036424402,-0.027238028,0.25171211,0.77045184,0.64808309,0.98052913,-0.12269133,-0.41361994,0.21211714,-0.58895791,0.17333014,-0.71996105,0.77341223,-0.96753806,-0.57871193,-0.38545388,-0.12823112,0.70113289,-0.17823765,-0.7372303,-0.086157508,-0.36544108,-0.33765057,-0.33183357,0.53938287,0.68775046,-1.1517957,-0.061477233,-0.025893224,0.36270154,-0.26353431,0.25818741,0.068886101,-0.36074156,0.7907176,-0.82976031,0.44008422,-0.71423805,-0.43744579,-0.6550045,-0.20019089,0.20908606,0.97329497,-0.1787574,-0.16238376,0.54699671,0.027353825,0.30429298,0.24518767,-0.15980031,0.74428302,0.72804803,-0.18277621,0.18519825,-0.088585511,-0.16746818,-0.3363187,0.27730203,-0.76677918,0.48301315,-0.53361243,-0.17629945,-0.66430396,-0.42006689,-0.071907781,-0.67160016,-0.056764718,-0.4209446
CN1100159C,0.06065931,0.42646146,-0.26651868,0.22670151,0.3188363,0.80503345,-0.9372713,-0.22987743,0.92155445,0.1182547,-0.81845194,0.30195412,0.39027452,0.21988532,-0.9441889,-0.0547948,-0.04096799,0.62876076,-0.5430009,1.4030789,0.19832067,-0.63775605,-0.12166036,0.93699193,0.29104337,-1.0873791,-0.97245276,-0.41402555,0.04428041,0.40355524,-1.1209472,0.19828603,0.33912137,1.3430481,0.40637928,0.19257642,0.627729,0.48800108,0.284619,0.17531271,-0.00832599,-0.17328615,0.05610511,0.02087956,0.19700642,-0.6284866,0.19053124,-0.13609788,-0.58434755,0.048852,0.06882872,0.22598161,-0.25072524,-0.6914647,-0.25363,-0.03290633,0.31388354,-0.4324068,-0.26887596,-0.8981587,-0.30023384,0.41958043,-0.34333664,-0.54948026,-0.4252246,-0.57388544,-0.7262341,0.06936873,0.69304657,-0.4837533,-0.26204962,0.08094404,-1.1976231,0.13018994,0.75004786,0.11532602,-0.83076113,-0.23420458,1.0472404,1.0235636,0.6870108,0.14904642,1.0096351,-0.26184392,0.6521096,0.19855854,-0.36217484,-0.18897226,-0.24737076,-0.5561047,-1.4627676,-0.46706602,-0.6110181,-0.23869452,-0.5890805,0.3994466,-0.17173453,-1.1235704,0.22824998,0.53430456
CN1054590A,-0.787295401,0.513948619,0.304532647,0.195552737,0.364957273,0.775377691,-0.627619684,-0.335298419,0.678138614,0.0111598969,-1.82497442,0.0170360245,-0.466364801,0.148559421,-0.384120435,0.0141224097,-0.585604608,-0.0756653547,0.109016776,0.375231296,0.180886984,-1.17888379,-0.538067162,0.421346307,-0.0525889732,0.302509427,-1.046736,-0.836505592,0.0144707076,-0.358738124,-0.791032434,0.562307298,-0.534532785,0.537761867,0.982208967,-0.183902308,0.477037936,1.55498278,-0.358671695,-0.0120525379,0.438559145,0.403119534,-0.602431715,0.111832909,-0.881726623,-0.433035731,-0.12059962,-0.754469275,-0.33316499,-0.468547732,0.0299239159,0.0257369522,-0.277044296,-0.659219861,0.0400789753,0.0763795376,0.0654262751,-0.559527576,-0.0620450899,0.00566136837,-0.519347548,0.573019028,-0.472592831,-0.260277838,0.000321149826,-1.04529846,-0.505116403,-0.4168607,0.441654712,-0.0176990107,0.594482303,0.204757363,-1.01260424,-0.204967365,0.226072878,-0.250456542,-0.31124115,0.29453516,0.665941417,0.846707046,0.0234515574,-0.708656907,0.496955872,0.829892933,0.038880799,-0.681986868,0.0737280995,0.363369107,-0.244085878,-0.453747243,-0.952816784,-0.0989013687,-0.277592629,-0.516824841,0.223639682,-0.0668489188,0.131083757,-1.34953916,-0.109963261,0.811620355
CN200510117426.6,-0.2902731,1.5488102,0.72388816,-0.41064596,0.51157486,0.15985426,-0.03742323,0.9659068,0.24143079,0.5157314,-0.6887051,-0.5380618,-1.3240858,0.0829033,-0.25739485,0.31029242,-0.3914849,-0.5098434,0.8701694,-0.8508539,0.6386976,0.81232804,0.28466076,1.1432455,-0.2643926,0.32550403,-0.35095006,-0.43219894,0.08287925,0.23417242,-0.9287956,-0.22066706,-0.5380368,0.75111395,0.6575878,-0.2725508,0.10143935,-0.42341918,-0.40680462,-0.314004,0.75887454,-0.03481966,-0.47396868,0.13653275,-0.12471057,0.0527157,-0.27711082,0.61767584,0.01697974,0.27197272,0.38605377,0.86815363,-0.03143782,-0.89937073,-0.56102186,-0.6256573,0.23045434,-0.31558287,-0.27965525,-0.6464278,-0.15682416,0.08369592,-0.24363363,-0.23960525,-0.6704983,-0.58406985,0.17937629,0.44402438,0.05236106,-0.47287172,0.6210108,-1.0089226,0.00327693,0.4096864,0.6049835,0.14486715,0.27582613,-0.30726844,-0.3317924,1.0713211,-0.4444794,0.36247268,0.33844405,0.49968907,0.04468474,-0.28273648,0.53131884,1.1122468,0.18030073,-0.38296196,-0.4775967,0.53247225,-0.1758087,0.08639318,-0.49033013,0.4988268,0.30632418,-0.3579149,0.09980431,0.7479749
